1;银两
2;绑定元宝
3;元宝
4;体力
5;经验
6;伙伴魂魄
7;帮贡
8;帮派资金
9;功勋
10;武魂币
11;武勋
12;功绩
100;碧玉装备
101;紫云装备
102;龙鳞装备
103;坐骑装备
104;羽翼装备
105;法宝装备
106;变身装备
107;阵法装备
110;孙悟空
111;唐僧
112;牛魔王
113;猪悟能
114;小白龙
115;红色宠物
116;橙色宠物
117;紫色宠物
118;蓝色宠物
10000001;妖王复活令
10000002;镖车令
10000003;招募令
10000004;高级招募令
10000005;潜能丹礼包(弃用)
10000006;神豆豆
10000007;橙装碎片
10000008;红装碎片
10000009;万能进阶丹
10000010;宠物洗练石
10000011;人物经验丹
10000012;精炼石
10000013;锻造石
10000014;宝石碎片
10000015;突破丹
10000016;月花露
10000017;五百万银两
10000018;五亿银两
10000019;五千绑元
10000020;高级神佑
10000021;高级连击
10000022;高级敏捷
10000023;高级迟钝
10000024;高级强壮
10000025;高级防御
10000026;高级偷袭
10000027;高级幸运
10000028;高级吸血
10000029;高级反击
10000030;高级反震
10000031;高级再生
10000032;高级招架
10000033;高级毒
10000034;高级暴击
10000035;高级法爆
10000036;高级强力
10000037;高级魔心
10000038;高级物理波动
10000039;高级法术波动
10000040;高级精神集中
10000041;高级神迹
10000042;角色进阶卡
10000043;四叶草
10000044;999朵玫瑰
10000100;修炼丹
10000101;寻星石
10000102;五十万银两
10100101;1级红色符石
10100102;2级红色符石
10100103;3级红色符石
10100104;4级红色符石
10100105;5级红色符石
10100106;6级红色符石
10100107;7级红色符石
10100108;8级红色符石
10100109;9级红色符石
10100110;10级红色符石
10100111;11级红色符石
10100112;12级红色符石
10100113;13级红色符石
10100114;14级红色符石
10100115;15级红色符石
10100116;16级红色符石
10100117;17级红色符石
10100118;18级红色符石
10100119;19级红色符石
10100120;20级红色符石
10100201;1级黄色符石
10100202;2级黄色符石
10100203;3级黄色符石
10100204;4级黄色符石
10100205;5级黄色符石
10100206;6级黄色符石
10100207;7级黄色符石
10100208;8级黄色符石
10100209;9级黄色符石
10100210;10级黄色符石
10100211;11级黄色符石
10100212;12级黄色符石
10100213;13级黄色符石
10100214;14级黄色符石
10100215;15级黄色符石
10100216;16级黄色符石
10100217;17级黄色符石
10100218;18级黄色符石
10100219;19级黄色符石
10100220;20级黄色符石
10100301;1级蓝色符石
10100302;2级蓝色符石
10100303;3级蓝色符石
10100304;4级蓝色符石
10100305;5级蓝色符石
10100306;6级蓝色符石
10100307;7级蓝色符石
10100308;8级蓝色符石
10100309;9级蓝色符石
10100310;10级蓝色符石
10100311;11级蓝色符石
10100312;12级蓝色符石
10100313;13级蓝色符石
10100314;14级蓝色符石
10100315;15级蓝色符石
10100316;16级蓝色符石
10100317;17级蓝色符石
10100318;18级蓝色符石
10100319;19级蓝色符石
10100320;20级蓝色符石
11021050;小骨妖碎片
11021051;金甲力士碎片
11021052;侠女碎片
11021053;荷花女妖碎片
11021054;天庭女仙碎片
11021055;御林军碎片
11021056;僵尸碎片
11021057;般若尊者碎片
11021058;小和尚碎片
11021059;鬼怪碎片
11021060;天兵碎片
11021061;小淘气碎片
11031026;大当家碎片
11031027;白菁晶碎片
11031028;女儿国王碎片
11031029;春三十娘碎片
11031030;猪刚鬣碎片
11031031;袁天罡碎片
11031032;空度禅师碎片
11031033;钟馗碎片
11032042;托塔天王碎片
11032043;东海龙王碎片
11032044;延寿星君碎片
11032045;嫦娥碎片
11032046;巨灵神碎片
11032047;南海龙子碎片
11032048;青玄仙女碎片
11032049;阎罗王碎片
11033034;九头虫碎片
11033035;蛟魔王碎片
11033036;白骨精碎片
11033037;白象王碎片
11033038;青狮王碎片
11033039;大鹏王碎片
11033040;玉兔精碎片
11033041;蝎子精碎片
11041001;孙悟空碎片
11041002;猪悟能碎片
11041003;唐僧碎片
11041004;小白龙碎片
11041022;镇元子碎片
11041023;紫霞碎片
11041024;沙悟净碎片
11041025;菩提子碎片
11042009;玉帝碎片
11042010;王母碎片
11042011;观音碎片
11042012;太乙真人碎片
11042013;二郎真君碎片
11042014;哪吒碎片
11042015;南极仙翁碎片
11042016;太白金星碎片
11043005;牛魔王碎片
11043006;铁扇公主碎片
11043007;红孩儿碎片
11043008;玉面狐狸碎片
11043017;银角大王碎片
11043018;青牛精碎片
11043019;地涌夫人碎片
